name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,max_torque_rpm,selling_price
Maruti Swift Dzire VDI,2014,145500,Diesel,Individual,Manual,First Owner,23.0,1248.0,74.0,5.0,190.0,2000.0,450000
Skoda Rapid 1.5 TDI Ambition,2014,120000,Diesel,Individual,Manual,Second Owner,21.1,1498.0,103.52,5.0,250.0,2000.0,370000
Hyundai i20 Sportz Diesel,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,219.66895999999997,2250.0,225000
Maruti Swift VXI BSIII,2007,120000,Petrol,Individual,Manual,First Owner,16.0,1298.0,88.2,5.0,112.77647499999999,4500.0,130000
Hyundai Xcent 1.2 VTVT E Plus,2017,45000,Petrol,Individual,Manual,First Owner,20.1,1197.0,81.86,5.0,113.75,4000.0,440000
Maruti Wagon R LXI DUO BSIII,2007,175000,LPG,Individual,Manual,First Owner,12.975000000000001,1061.0,57.5,5.0,76.49186999999999,4500.0,96000
Maruti 800 DX BSII,2001,5000,Petrol,Individual,Manual,Second Owner,16.0,796.0,37.0,4.0,59.0,2500.0,45000
Toyota Etios VXD,2011,90000,Diesel,Individual,Manual,First Owner,23.5,1364.0,67.1,5.0,170.0,2100.0,350000
Ford Figo Diesel Celebration Edition,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,160.0,2000.0,200000
Renault Duster 110PS Diesel RxL,2014,68000,Diesel,Individual,Manual,Second Owner,19.0,1461.0,108.45,5.0,248.0,2250.0,500000
Maruti Zen LX,2005,100000,Petrol,Individual,Manual,Second Owner,17.0,993.0,60.0,5.0,78.0,4500.0,92000
Maruti Swift Dzire VDi,2009,140000,Diesel,Individual,Manual,Second Owner,19.0,1248.0,73.9,5.0,190.0,2000.0,280000
Maruti Swift 1.3 VXi,2007,80000,Petrol,Individual,Manual,Second Owner,,,,,,,200000
Maruti Wagon R LXI Minor,2009,90000,Petrol,Individual,Manual,Second Owner,18.0,1061.0,67.0,5.0,84.0,3500.0,180000
Mahindra KUV 100 mFALCON G80 K8 5str,2016,40000,Petrol,Individual,Manual,First Owner,18.1,1198.0,82.0,5.0,115.0,3550.0,400000
Hyundai i20 1.4 CRDi Asta,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,219.66895999999997,2250.0,500000
Maruti Alto LX,2002,80000,Petrol,Individual,Manual,Second Owner,19.0,796.0,46.3,5.0,62.0,3000.0,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,100000,Diesel,Individual,Manual,First Owner,22.5,1396.0,88.73,5.0,219.7,2125.0,680000
